"field_0";"date";"open";"high";"low";"close";"volume";"market_cap";"unit_volume";"rolling20_d";"date_2";"bitfinex_shorts";"bitfinex_longs";"bitfinex_volume";"total__crypto__cap";"bitcoin_dominance"
170;1975;3866.84;3868.74;3725.87;3742.7;4661840806;65331500000.0;1245.58;1468.82;"1975";32045.0;29533.0;15793.0;126000000000.0;52.01
169;2017;3746.71;3850.91;3707.23;3843.52;4324200990;67098600000.0;1125.06;1465.72;"2017";33507.3;29751.7;13848.0;130000000000.0;51.64
168;2016;3849.22;3947.98;3817.41;3943.41;5244856836;68849900000.0;1330.03;1466.68;"2016";33164.6;31977.4;19438.0;135000000000.0;51.05
167;2015;3931.05;3935.69;3826.22;3836.74;4530215219;66994900000.0;1180.75;1458.29;"2015";32969.1;32361.2;10520.0;131000000000.0;51.33
166;2014;3832.04;3865.93;3783.85;3857.72;4847965467;67368300000.0;1256.69;1466.26;"2014";30590.3;3341.95;13229.0;132000000000.0;51.18
165;2013;3851.97;3904.9;3836.9;3845.19;5137609824;67157600000.0;1336.11;1475.51;"2013";28747.9;3351.08;14874.0;132000000000.0;51.03
164;2012;3836.52;4093.3;3826.51;4076.63;5597027440;71206800000.0;1372.95;1467.88;"2012";24878.8;3445.55;25180.0;138000000000.0;51.53
163;2011;4078.59;4092.61;4020.89;4025.25;5228625637;70316300000.0;1298.96;1452.86;"2011";24343.6;33339.2;11253.0;136000000000.0;51.82
162;2010;4028.47;4109.02;3996.96;4030.85;5306593305;70422700000.0;1316.49;1427.78;"2010";23457.3;33608.6;18727.0;136000000000.0;51.71
161;2009;4031.55;4068.4;4022.66;4035.3;5115905225;70508700000.0;1267.79;1383.21;"2009";22711.5;33807.0;20629.0;137000000000.0;51.44
160;2008;4034.41;4064.07;3659.17;3678.92;6874143796;64288900000.0;1868.52;1384.17;"2008";23893.1;31105.7;35020.0;123000000000.0;52.3
159;2007;3674.02;3713.88;3653.07;3687.37;5538712865;64443300000.0;1502.08;1389.45;"2007";24325.0;31348.2;13130.0;123000000000.0;52.43
158;2006;3686.97;3698.98;3653.81;3661.3;4778170883;63994100000.0;1305.05;1377.79;"2006";23384.5;31832.9;9296.0;122000000000.0;52.4
157;2005;3658.87;3674.76;3544.93;3552.95;4681302466;62106500000.0;1317.58;1354.9;"2005";23751.3;31736.4;12590.0;117000000000.0;52.98
156;2004;3557.31;3727.84;3552.29;3706.05;5651384490;64789600000.0;1524.91;1350.45;"2004";23337.6;30645.6;14836.0;124000000000.0;52.27
155;2003;3704.22;3720.15;3619.95;3630.68;5537192302;63477800000.0;1525.11;1357.66;"2003";22801.7;30937.5;13323.0;121000000000.0;52.55
154;2002;3631.51;3685.78;3624.67;3655.01;5394457145;63909300000.0;1475.91;1361.27;"2002";21717.3;31509.1;13227.0;122000000000.0;52.33
153;2001;3651.87;3680.14;3621.96;3678.56;5464420383;64327000000.0;1485.48;1363.78;"2001";21887.6;31262.6;10870.0;123000000000.0;52.32
152;2000;3677.99;3682.52;3637.08;3657.84;5002961727;63971000000.0;1367.74;1366.84;"2000";22288.9;31569.7;5656.0;122000000000.0;52.56
151;1999;3652.38;3758.53;3652.38;3728.57;5955691380;65214100000.0;1597.31;1385.01;"1999";22568.1;31381.4;13391.0;124000000000.0;52.46
150;1998;3725.45;3743.39;3583.02;3601.01;5582489560;62990100000.0;1550.26;1400.24;"1998";22873.5;32204.1;20627.0;120000000000.0;52.47
149;1997;3600.37;3608.84;3558.54;3576.03;5004347059;62559900000.0;1399.41;1413.96;"1997";23187.5;30299.1;10814.0;119000000000.0;52.4
148;1996;3575.08;3620.75;3539.72;3604.58;5313623556;63065100000.0;1474.13;1421.16;"1996";22355.8;29567.6;18048.0;121000000000.0;52.3
147;1995;3605.56;3623.07;3565.31;3585.12;5433755649;62731400000.0;1515.64;1437.91;"1995";22595.1;28957.2;15136.0;120000000000.0;52.34
146;1994;3584.5;3616.09;3569.09;3600.87;5262869046;63014100000.0;1461.55;1448.15;"1994";53824.8;2888.44;7868.0;120000000000.0;52.4
145;1993;3607.39;3612.93;3575.6;3599.77;5265847539;63001000000.0;1462.83;1454.49;"1993";23999.5;29059.5;7378.0;120000000000.0;52.46
144;1992;3599.72;3654.93;3593.35;3602.46;5098183235;63054900000.0;1415.19;1456.6;"1992";25694.6;28801.5;13006.0;120000000000.0;52.5
143;1991;3604.69;3612.67;3567.25;3583.97;5570752966;62737300000.0;1554.35;1469.37;"1991";23865.3;28601.6;11449.0;119000000000.0;52.84
142;1990;3584.28;3586.75;3439.23;3470.45;6908930483;60756600000.0;1990.79;1503.08;"1990";25934.7;29320.0;17024.0;114000000000.0;53.49
141;1989;3468.87;3476.07;3400.82;3448.12;5897159493;60371900000.0;1710.25;1525.2;"1989";25586.6;29861.6;10466.0;113000000000.0;53.41
140;1988;3443.9;3495.17;3429.39;3486.18;5955112627;61044300000.0;1708.21;1517.19;"1988";27216.0;31107.0;12580.0;116000000000.0;52.59
139;1987;3485.41;3504.8;3447.92;3457.79;5831198271;60553900000.0;1686.39;1526.41;"1987";26984.4;31172.1;8572.0;114000000000.0;53.33
138;2016;3460.55;3501.95;3431.59;3487.95;5422926707;61088700000.0;1554.76;1538.89;"2016";26275.7;32079.5;10041.0;114000000000.0;53.38
137;2015;3484.63;3523.29;3467.57;3521.06;5071623601;61675100000.0;1440.37;1545.03;"2015";24239.5;31811.1;10890.0;116000000000.0;53.23
136;2014;3516.14;3521.39;3447.92;3464.01;5043937584;60681800000.0;1456.1;1541.59;"2014";25189.2;31551.6;7875.0;114000000000.0;53.41
135;2013;3467.21;3476.22;3442.59;3459.15;5332718886;60603100000.0;1541.63;1542.42;"2013";24324.7;31093.0;5213.0;114000000000.0;53.33
134;2012;3454.95;3478.15;3451.94;3466.36;5227549545;60735600000.0;1508.08;1544.02;"2012";23895.4;31091.8;4590.0;114000000000.0;53.45
133;2011;3469.09;3469.09;3398.57;3413.77;5482196038;59821200000.0;1605.91;1550.05;"2011";25030.9;31460.9;13172.0;112000000000.0;53.58
132;2010;3414.93;3427.95;3394.22;3399.47;5004962683;59578100000.0;1472.28;1555.27;"2010";25697.6;31463.3;4815.0;111000000000.0;53.46
131;2009;3401.38;3695.61;3391.02;3666.78;7735623101;64270300000.0;2109.65;1580.89;"2009";25029.1;31841.1;31163.0;121000000000.0;52.93
130;2008;3671.59;3679.94;3646.56;3671.2;6158833645;64354700000.0;1677.61;1587.26;"2008";24049.0;31057.8;6563.0;122000000000.0;52.86
129;2007;3673.2;3695.04;3640.98;3690.19;6282256903;64694000000.0;1702.42;1602.41;"2007";24203.7;31839.8;10041.0;123000000000.0;52.58
128;2006;3695.61;3695.61;3642.29;3648.43;6277056434;63968400000.0;1720.48;1614.72;"2006";24977.4;32642.5;7797.0;121000000000.0;52.87
127;2005;3642.75;3668.59;3618.56;3653.53;6480384532;64063800000.0;1773.73;1627.63;"2005";25512.6;33527.6;11337.0;122000000000.0;52.65
126;2004;3653.6;3669.75;3617.25;3632.07;6438903823;63694400000.0;1772.79;1643.19;"2004";22689.5;33150.4;11761.0;121000000000.0;52.66
125;2003;3631.17;3646.26;3607.7;3616.88;6271044418;63434500000.0;1733.83;1656.74;"2003";21952.6;33728.4;7533.0;120000000000.0;52.84
124;2002;3617.37;3647.8;3608.21;3620.81;6091952231;63509100000.0;1682.48;1670.11;"2002";22414.7;34268.6;7807.0;121000000000.0;52.69
123;2001;3615.27;3652.84;3615.27;3629.79;5934744052;63673400000.0;1635.01;1674.14;"2001";23818.7;35821.6;7516.0;121000000000.0;52.64
122;2000;3633.36;3680.54;3619.18;3673.84;7039512503;64453400000.0;1916.12;1670.4;"2000";25215.9;35884.2;14076.0;123000000000.0;52.21
121;1999;3671.37;3936.67;3669.98;3915.71;9908216640;68704400000.0;2530.38;1711.41;"1999";21290.4;31289.4;37616.0;132000000000.0;51.95
120;1998;3911.66;4010.88;3908.15;3947.09;9933626655;69262700000.0;2516.7;1751.84;"1998";18932.2;26268.7;24303.0;133000000000.0;51.95
119;1997;3946.68;4000.49;3926.25;3999.82;8693373948;70194300000.0;2173.44;1776.19;"1997";20937.3;26835.4;15257.0;136000000000.0;51.53
118;1996;4000.26;4010.01;3940.11;3954.12;7775128102;69398300000.0;1966.34;1796.77;"1996";19936.0;25419.0;15483.0;134000000000.0;51.97
117;1995;3952.41;4006.54;3950.82;4005.53;7826525254;70308600000.0;1953.93;1822.44;"1995";19641.4;24915.8;14206.0;136000000000.0;51.87
116;1994;3998.92;4166.29;3968.73;4142.53;8922258316;72720900000.0;2153.82;1857.33;"1994";18586.8;26684.9;21531.0;141000000000.0;51.57
115;1993;4145.46;4210.64;3793.71;3810.43;10794227451;66897500000.0;2832.81;1921.89;"1993";17330.4;26433.5;36095.0;128000000000.0;52.41
114;1992;3807.0;3913.71;3807.0;3882.7;9318796067;68173200000.0;2400.08;1966.49;"1992";18214.9;26053.7;10406.0;131000000000.0;51.87
113;1991;3878.7;3891.58;3837.99;3854.36;7931218996;67683300000.0;2057.73;1989.08;"1991";18164.5;25739.1;5113.0;130000000000.0;51.94
112;1990;3857.48;3888.8;3787.06;3851.05;8301309684;67631900000.0;2155.6;2023.25;"1990";19470.4;25331.3;12033.0;130000000000.0;52.16
111;1989;3848.26;3906.06;3845.82;3854.79;8399767798;67704800000.0;2179.05;2026.72;"1989";18102.7;24277.4;12097.0;130000000000.0;52.07
110;2015;3853.76;3907.8;3851.69;3859.58;7661247975;67797000000.0;1985.0;2042.09;"2015";18121.8;24177.2;4758.0;131000000000.0;51.92
109;2014;3855.32;3874.61;3832.13;3864.42;7578786076;67888300000.0;1961.17;2055.02;"2014";17760.7;24242.0;5115.0;130000000000.0;52.06
108;2013;3862.27;3875.48;3836.91;3847.18;7253558152;67592400000.0;1885.42;2063.27;"2013";17667.8;24195.5;2878.0;130000000000.0;52.14
107;2012;3845.09;3867.38;3733.75;3761.56;9029175788;66094600000.0;2400.38;2094.6;"2012";17729.8;23859.6;10185.0;126000000000.0;52.37
106;2011;3759.83;3903.92;3745.18;3896.38;10174126415;68470700000.0;2611.17;2136.52;"2011";17406.6;23873.2;10797.0;133000000000.0;51.66
